127.0.0.1 - - [05/Nov/2019:15:29:02 +0900] "GET / HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:29:05 +0900] "GET /hello_linux/home.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:29:24 +0900] "GET /hello_linux/home.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:31:52 +0900] "GET /hello_linux/home.jsp HTTP/1.1" 200 2386
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:31:52 +0900] "GET /web/chat.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:31:52 +0900] "GET /temp.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:31:53 +0900] "GET /web/water.jpg HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:32:16 +0900] "GET / HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:32:16 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:32:28 +0900] "GET /hello_linux/home.jsp HTTP/1.1" 200 2386
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:32:28 +0900] "GET /temp.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:32:28 +0900] "GET /web/chat.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:32:28 +0900] "GET /web/water.jpg HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:32:28 +0900] "GET /web/chat.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:35:12 +0900] "GET /hello_linux/home.jsp HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:35:12 +0900] "GET /temp.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:35:12 +0900] "GET /hello_linux/img/chat.png HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:35:12 +0900] "GET /hello_linux/img/water.jpg HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:38:21 +0900] "GET /hello_linux/home.jsp HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:38:21 +0900] "GET /temp.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:38:21 +0900] "GET /hello_linux/img/chat.png HTTP/1.1" 200 12697
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:38:21 +0900] "GET /hello_linux/img/water.jpg HTTP/1.1" 200 859126
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:38:41 +0900] "GET /hello_linux/home.jsp HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:38:41 +0900] "GET /temp.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [05/Nov/2019:15:38:41 +0900] "GET /hello_linux/img/chat.png HTTP/1.1" 200 12697
